sgLinha;codigoLinha;getOrigemIda;destinoIda;nomeLinha;mapa
604;57;L. PARENTE;L. PARENTE;L. PARENTE-MORADA NOVA MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1PYFgSEu7VaZ6yV0bhLR7kzDKFRuW3o2h&ehbc=2E312F
603;56;PARQUE JUREMA;PARQUE JUREMA;PARQUE JUREMA-DIRCEU II M. ROSA;https://www.google.com/maps/d/u/0/embed?mid=1Kd_-_5qViAdC9WJbl_hMpnAm5pS7q5jb&ehbc=2E312F
602;95;SAO PAULO;SAO PAULO;SAO PAULO-RENASCENCA I M. ROSA;https://www.google.com/maps/d/u/0/embed?mid=1oxxBn2jc86T15lk_fOpT19ChDlHGPh-h&ehbc=2E312F
601;94;REDONDA;REDONDA;REDONDA-DIRCEU I MIGUEL ROSA;https://www.google.com/maps/d/u/0/embed?mid=1kZF9AU9AcNh-Ai5sD5F1oCSD_6n6ZfWD&ehbc=2E312F
522;79;PLANALTO URUGUAI;PLANALTO URUGUAI;HD-VALE DO GAVIAO-ARVORES VERDE VIA FAET;https://www.google.com/maps/d/u/0/embed?mid=1rZ8tXwjMtDxRV__O3xqUFll6Zbwl4HPH&ehbc=2E312F
521;167;TERMINAL 1;TERMINAL 1;NOVA TERESINA SAO CRISTOVAO;https://www.google.com/maps/d/u/0/embed?mid=1iwVka0frYKCe75oQmtAI-hszQwkE4E0a&ehbc=2E312F
520;31;TODOS OS SANTOS;TODOS OS SANTOS;HD-T. OS SANTOS-FREI DAMIAO-JOAO XXIII;https://www.google.com/maps/d/u/0/embed?mid=1tWgOJaTuRG_r3ybMN-rjPY3yvR6H0SJg&ehbc=2E312F
519;93;SAO PAULO;SAO PAULO;SAO PAULO-RENASCENCA I PONTE WALL FERRAZ;https://www.google.com/maps/d/u/0/embed?mid=1Iml0iexgP8wNs17QkGOSlinK_8oEPNh6&ehbc=2E312F
516;89;L. PARENTE;L. PARENTE;L. PARENTE M. NOVA SHOPPING VIA SAO;https://www.google.com/maps/d/u/0/embed?mid=1Xgh-5O96Pj14dGRprcIfBs02DZSVd_gp&ehbc=2E312F
515;30;SAO PAULO;SAO PAULO;HD-SAO PAULO SHOPPING VIA SAO JOAO;https://www.google.com/maps/d/u/0/embed?mid=1OIbGuujrZfIar1NlYjGnUn9M3PbxbXTR&ehbc=2E312F
512;74;VILA BANDEIRANTES;VILA BANDEIRANTES;VILA BANDEIRANTES SAO CRISTOVAO;https://www.google.com/maps/d/u/0/embed?mid=1Il-RsPeGYz27PP97p08mTjSvjMNZskWX&ehbc=2E312F
510;29;PARQUE JUREMA;PARQUE JUREMA;PARQUE JUREMA-DIRCEU II JOAO XXIII;https://www.google.com/maps/d/u/0/embed?mid=1ODtU3ax-5kTfPbEaZ2ym7VS--0SXcQYB&ehbc=2E312F
509;28;PARQUE JUREMA;PARQUE JUREMA;HD-PARQUE JUREMA-SHOPPING;https://www.google.com/maps/d/u/0/embed?mid=1MUdDaqU5C8Nhp1b_W5xvJHgtKAZ9_NqM&ehbc=2E312F
508;41;PQ. PROGRESSO;PQ. PROGRESSO;PQ. ITARARE-B. ESPERANCA SAO JOAO;https://www.google.com/maps/d/u/0/embed?mid=15aUSF7YqT2mxtMiL-oPJ2YSnmadbN_r3&ehbc=2E312F
507;27;JARDIM EUROPA;JARDIM EUROPA;JARDIM EUROPA-BOM PRINCIPIO J. XXIII;https://www.google.com/maps/d/u/0/embed?mid=11ISgN3WjugM_TJQJMjAZh9mP3pAtvsHM&ehbc=2E312F
506;25;SAO PAULO;SAO PAULO;SAO PAULO RENASCENCA I JOAO XXIII;https://www.google.com/maps/d/u/0/embed?mid=1LWyv41zZ18g__v7CyIT57IvXc-KdWFID&ehbc=2E312F
505;23;REDONDA;REDONDA;REDONDA-DIRCEU I JOAO XXIII;https://www.google.com/maps/d/u/0/embed?mid=13oHHI7EQEnYUsfJ40VsrwgeMSstzvOgG&ehbc=2E312F
503;72;VILA BANDEIRANTES;VILA BANDEIRANTES;V BANDEIRANTES-SATELITE S. CRISTOVAO;https://www.google.com/maps/d/u/0/embed?mid=1UeLxMbaYscjP0M6qcKZiNGAD2yu_PYEl&ehbc=2E312F
